seed,hypervolume,spread,spacing,pf_size,time,f1_max,f2_max,f1_min,f2_min,dataset,task,model,algorithm
1746,17.900000000000002,,,6,7.576250076293945,0.9666666666666667,7.0,-inf,0.0,lymphography,classification,LogReg,nsga2
3378,17.500000000000004,,,5,7.361921787261963,0.9333333333333333,3.0,-inf,0.0,lymphography,classification,LogReg,nsga2
5206,17.500000000000004,,,5,7.387711048126221,0.9333333333333333,3.0,-inf,0.0,lymphography,classification,LogReg,nsga2
9235,17.500000000000004,,,5,7.290866374969482,0.9333333333333333,3.0,-inf,0.0,lymphography,classification,LogReg,nsga2
8185,17.900000000000002,,,7,7.609392166137695,0.9666666666666667,7.0,-inf,0.0,lymphography,classification,LogReg,nsga2
8577,17.900000000000002,,,6,7.354398012161255,0.9666666666666667,7.0,-inf,0.0,lymphography,classification,LogReg,nsga2
9616,17.500000000000004,,,5,7.447500705718994,0.9333333333333333,3.0,-inf,0.0,lymphography,classification,LogReg,nsga2
6067,17.8,,,6,7.52216911315918,0.9666666666666667,10.0,-inf,0.0,lymphography,classification,LogReg,nsga2
1770,17.500000000000004,,,5,7.541874885559082,0.9333333333333333,3.0,-inf,0.0,lymphography,classification,LogReg,nsga2
9305,17.500000000000004,,,5,7.507722854614258,0.9333333333333333,3.0,-inf,0.0,lymphography,classification,LogReg,nsga2
5510,17.500000000000004,,,5,7.520869016647339,0.9333333333333333,3.0,-inf,0.0,lymphography,classification,LogReg,nsga2
8527,17.500000000000004,,,5,7.518504858016968,0.9333333333333333,3.0,-inf,0.0,lymphography,classification,LogReg,spea2
2114,17.900000000000002,,,6,7.506882667541504,0.9666666666666667,7.0,-inf,0.0,lymphography,classification,LogReg,spea2
4033,17.900000000000002,,,6,7.582637071609497,0.9666666666666667,7.0,-inf,0.0,lymphography,classification,LogReg,spea2
7445,17.833333333333336,,,6,7.69059419631958,0.9666666666666667,9.0,-inf,0.0,lymphography,classification,LogReg,spea2
1174,17.500000000000004,,,5,7.633791923522949,0.9333333333333333,3.0,-inf,0.0,lymphography,classification,LogReg,spea2
3857,17.500000000000004,,,5,7.758012056350708,0.9333333333333333,3.0,-inf,0.0,lymphography,classification,LogReg,spea2
7422,17.500000000000004,,,5,7.547229290008545,0.9333333333333333,3.0,-inf,0.0,lymphography,classification,LogReg,spea2
8445,17.900000000000002,,,6,7.7037317752838135,0.9666666666666667,7.0,-inf,0.0,lymphography,classification,LogReg,spea2
5357,17.500000000000004,,,5,7.359941244125366,0.9333333333333333,3.0,-inf,0.0,lymphography,classification,LogReg,spea2
1746,17.500000000000004,,,5,7.547985315322876,0.9333333333333333,3.0,-inf,0.0,lymphography,classification,LogReg,spea2
3378,17.500000000000004,,,5,7.454912900924683,0.9333333333333333,3.0,-inf,0.0,lymphography,classification,LogReg,spea2
5206,17.500000000000004,,,5,7.589478254318237,0.9333333333333333,3.0,-inf,0.0,lymphography,classification,LogReg,spea2
9235,17.500000000000004,,,5,7.398977994918823,0.9333333333333333,3.0,-inf,0.0,lymphography,classification,LogReg,spea2
8185,17.500000000000004,,,5,7.5234479904174805,0.9333333333333333,3.0,-inf,0.0,lymphography,classification,LogReg,spea2
8577,17.500000000000004,,,5,7.615288019180298,0.9333333333333333,3.0,-inf,0.0,lymphography,classification,LogReg,spea2
9616,17.500000000000004,,,5,7.387519836425781,0.9333333333333333,3.0,-inf,0.0,lymphography,classification,LogReg,spea2
6067,17.500000000000004,,,5,7.513048887252808,0.9333333333333333,3.0,-inf,0.0,lymphography,classification,LogReg,spea2
1770,17.500000000000004,,,5,7.447732925415039,0.9333333333333333,3.0,-inf,0.0,lymphography,classification,LogReg,spea2
9305,17.500000000000004,,,5,7.524072170257568,0.9333333333333333,3.0,-inf,0.0,lymphography,classification,LogReg,spea2
5510,17.833333333333336,,,7,7.524651050567627,0.9666666666666667,9.0,-inf,0.0,lymphography,classification,LogReg,spea2
8527,17.500000000000004,,,5,7.526098012924194,0.9333333333333333,3.0,-inf,0.0,lymphography,classification,LogReg,smsemoa
2114,17.500000000000004,,,5,7.116823196411133,0.9333333333333333,3.0,-inf,0.0,lymphography,classification,LogReg,smsemoa
4033,17.900000000000002,,,7,7.637264251708984,0.9666666666666667,7.0,-inf,0.0,lymphography,classification,LogReg,smsemoa
7445,17.500000000000004,,,5,7.43480920791626,0.9333333333333333,3.0,-inf,0.0,lymphography,classification,LogReg,smsemoa
1174,17.500000000000004,,,5,7.312819004058838,0.9333333333333333,3.0,-inf,0.0,lymphography,classification,LogReg,smsemoa
3857,17.500000000000004,,,5,7.61492919921875,0.9333333333333333,3.0,-inf,0.0,lymphography,classification,LogReg,smsemoa
7422,17.833333333333336,,,7,7.552608013153076,0.9666666666666667,9.0,-inf,0.0,lymphography,classification,LogReg,smsemoa
8445,17.500000000000004,,,5,7.606984853744507,0.9333333333333333,3.0,-inf,0.0,lymphography,classification,LogReg,smsemoa
5357,17.500000000000004,,,5,7.4245381355285645,0.9333333333333333,3.0,-inf,0.0,lymphography,classification,LogReg,smsemoa
1746,17.500000000000004,,,5,7.522100925445557,0.9333333333333333,3.0,-inf,0.0,lymphography,classification,LogReg,smsemoa
