model,mean_hv,std_hv,population_size,generations,seeding_prop,ones_prop,crossover_prob,mutation_prob,ls_start,ls_end
LogReg,30.746478873239436,0.17546379157630795,100,20,0.35,0.0,0.4,0.01,0.2,0.3
LogReg,30.836619718309855,0.2551745768482977,100,20,0.15,0.02,0.7,0.01,0.05,0.6
LogReg,30.923943661971826,0.2275596104633304,100,20,0.3,0.05,0.8,0.01,0.05,0.7
LogReg,30.93521126760563,0.2322193109354915,100,20,0.2,0.04,0.7,0.03,0.05,0.5
LogReg,30.797183098591546,0.21611343976131306,100,20,0.15,0.02,0.5,0.01,0.15,0.7
LogReg,30.788732394366196,0.19556681642489823,100,20,0.1,0.01,0.9,0.07,0.2,0.7
LogReg,30.895774647887322,0.2124100565803806,100,20,0.4,0.04,0.7,0.05,0.2,0.7
LogReg,30.836619718309855,0.14734306288024737,100,20,0.25,0.01,0.5,0.1,0.25,0.7
LogReg,30.91267605633802,0.01868521008650868,100,20,0.35,0.01,0.7,0.03,0.2,0.4
LogReg,30.988732394366195,0.0905799165679645,100,20,0.3,0.05,1.0,0.07,0.2,0.5
LogReg,30.983098591549293,0.10814847222790176,100,20,0.4,0.02,0.9,0.09,0.3,0.4
LogReg,30.833802816901407,0.15206050226778334,100,20,0.2,0.01,0.6,0.05,0.25,0.5
LogReg,30.969014084507034,0.13925867148516308,100,20,0.2,0.03,0.5,0.1,0.1,0.5
LogReg,30.91267605633803,0.24515135461447313,100,20,0.25,0.02,0.5,0.07,0.2,0.4
LogReg,30.85070422535211,0.2698350425876731,100,20,0.1,0.0,1.0,0.01,0.15,0.8
LogReg,30.780281690140846,0.19467214133150387,100,20,0.2,0.03,0.7,0.03,0.3,0.4
LogReg,30.72957746478873,0.15361800793730637,100,20,0.25,0.02,0.5,0.03,0.3,0.6
LogReg,31.033802816901407,0.15237327702871534,100,20,0.25,0.02,0.9,0.03,0.15,0.5
LogReg,30.91830985915493,0.2155251747987442,100,20,0.4,0.0,0.6,0.03,0.1,0.4
LogReg,30.76901408450704,0.2170294116536114,100,20,0.2,0.04,0.4,0.1,0.15,0.7
LogReg,30.814084507042253,0.2689218926166222,100,20,0.25,0.03,0.6,0.09,0.05,0.5
LogReg,30.75211267605634,0.18992684880042315,100,20,0.25,0.02,0.4,0.05,0.05,0.8
LogReg,30.91830985915493,0.018685210086509644,100,20,0.2,0.03,0.7,0.09,0.3,0.8
LogReg,31.00845070422535,0.14407562650754216,100,20,0.25,0.04,1.0,0.03,0.1,0.8
LogReg,30.814084507042253,0.26684844693611276,100,20,0.15,0.02,0.8,0.09,0.15,0.8
LogReg,30.93521126760563,0.01910515488204453,100,20,0.15,0.02,0.6,0.01,0.05,0.5
LogReg,30.97183098591549,0.10195471025833075,100,20,0.35,0.02,0.5,0.01,0.2,0.7
