dataset,model,metric,test,algorithm,statistic,pvalue,corrected_p,significant
lymphography,SVC,hypervolume,Friedman,,62.900343642611666,7.121654882315405e-13,,True
lymphography,SVC,hypervolume,Wilcoxon,nsga2,0.0,0.0005943431422683601,0.0016081662325500685,True
lymphography,SVC,hypervolume,Wilcoxon,replica,87.5,0.7627221588367212,0.7627221588367212,False
lymphography,SVC,hypervolume,Wilcoxon,smsemoa,0.0,0.0004020415581375171,0.0016081662325500685,True
lymphography,SVC,hypervolume,Wilcoxon,spea2,0.0,0.0004020415581375171,0.0016081662325500685,True
spambase,DT,hypervolume,Friedman,,53.72000000000003,6.023256086687555e-11,,True
spambase,DT,hypervolume,Wilcoxon,nsga2,33.0,0.005580902099609375,0.01116180419921875,True
spambase,DT,hypervolume,Wilcoxon,replica,0.0,1.9073486328125e-06,7.62939453125e-06,True
spambase,DT,hypervolume,Wilcoxon,smsemoa,0.0,1.9073486328125e-06,7.62939453125e-06,True
spambase,DT,hypervolume,Wilcoxon,spea2,97.0,0.7841262817382812,0.7841262817382812,False
spambase,LogReg,hypervolume,Friedman,,59.0,4.705574169735268e-12,,True
spambase,LogReg,hypervolume,Wilcoxon,nsga2,3.0,9.5367431640625e-06,1.9073486328125e-05,True
spambase,LogReg,hypervolume,Wilcoxon,replica,0.0,1.9073486328125e-06,7.62939453125e-06,True
spambase,LogReg,hypervolume,Wilcoxon,smsemoa,0.0,1.9073486328125e-06,7.62939453125e-06,True
spambase,LogReg,hypervolume,Wilcoxon,spea2,27.0,0.0023250579833984375,0.0023250579833984375,True
spambase,SVC,hypervolume,Friedman,,64.04000000000002,4.0989041086744564e-13,,True
spambase,SVC,hypervolume,Wilcoxon,nsga2,0.0,1.9073486328125e-06,7.62939453125e-06,True
spambase,SVC,hypervolume,Wilcoxon,replica,0.0,1.9073486328125e-06,7.62939453125e-06,True
spambase,SVC,hypervolume,Wilcoxon,smsemoa,0.0,1.9073486328125e-06,7.62939453125e-06,True
spambase,SVC,hypervolume,Wilcoxon,spea2,0.0,1.9073486328125e-06,7.62939453125e-06,True
superconductivity,LinReg,hypervolume,Friedman,,74.36000000000001,2.721241508738118e-15,,True
superconductivity,LinReg,hypervolume,Wilcoxon,nsga2,0.0,1.9073486328125e-06,7.62939453125e-06,True
superconductivity,LinReg,hypervolume,Wilcoxon,replica,0.0,1.9073486328125e-06,7.62939453125e-06,True
superconductivity,LinReg,hypervolume,Wilcoxon,smsemoa,0.0,1.9073486328125e-06,7.62939453125e-06,True
superconductivity,LinReg,hypervolume,Wilcoxon,spea2,0.0,1.9073486328125e-06,7.62939453125e-06,True
wave-energy,LinReg,hypervolume,Friedman,,71.24000000000001,1.2420780716571024e-14,,True
wave-energy,LinReg,hypervolume,Wilcoxon,nsga2,0.0,1.9073486328125e-06,7.62939453125e-06,True
wave-energy,LinReg,hypervolume,Wilcoxon,replica,0.0,1.9073486328125e-06,7.62939453125e-06,True
wave-energy,LinReg,hypervolume,Wilcoxon,smsemoa,0.0,1.9073486328125e-06,7.62939453125e-06,True
wave-energy,LinReg,hypervolume,Wilcoxon,spea2,0.0,1.9073486328125e-06,7.62939453125e-06,True
